(0.643174,-1.41863), (-1.31944,-1.56803), (0.555268,-2.29418), (-1.66659,-0.510843), (-1.4795,-2.26718), (-2.29761,0.486125), (-1.66624,-1.45025), (0.546312,-0.487527), (-2.29547,-1.50601), (0.501916,0.528138), (-1.51702,-0.433241), (0.463325,1.52114);
(-1.42297,0.666933), (-2.29761,0.486125), (-1.62161,-0.506401), (-1.63145,-1.42351), (0.442946,-1.4208), (0.501916,0.528138), (-2.29802,-1.50905), (0.411784,-1.55067), (-1.45469,-1.61773), (0.55713,1.52105), (-1.52402,-0.462351), (1.57517,1.51623);
(-2.29761,0.486125), (-1.46634,-2.29009), (0.559324,-0.525169), (0.442946,-1.4208), (-2.29802,-1.50905), (0.408777,-1.53629), (0.499736,1.41214), (0.55713,1.52105), (-1.52877,-0.46574), (-1.4486,-1.59212), (-1.58544,-1.53556), (1.55394,1.50022);
(-2.29761,0.486125), (-1.39131,0.494945), (-1.48851,-2.29376), (0.488352,-0.473633), (-0.413446,-1.56184), (-2.29802,-1.50905), (0.473474,1.47632), (-1.52877,-0.46574), (0.488364,-1.49275), (-1.58544,-1.53556), (-1.45139,-1.50332), (1.52698,1.50933);
(0.488352,-0.473633), (-0.413446,-1.56184), (-2.29802,-1.50905), (-1.58791,0.564574), (0.59055,-1.52441), (-1.53626,-1.62288), (0.473474,1.47632), (-1.52877,-0.46574), (0.488364,-1.49275), (-1.58544,-1.53556), (-1.47515,-1.47704), (1.51186,1.51357);
(-1.38608,-0.581267), (0.514465,-0.507874), (-2.29802,-1.50905), (-1.5918,0.496506), (-0.421175,-1.51288), (-1.53626,-1.62288), (-1.61157,-1.46424), (0.473474,1.47632), (0.520455,-1.49918), (-1.50945,-0.491552), (-1.48928,-1.52358), (1.51186,1.51357);
(-2.3,-2.3), (-0.660357,-1.58037), (-1.39592,-0.590915), (1.50039,-0.633317), (-1.5918,0.496506), (-0.461803,-1.46841), (-1.53626,-1.62288), (0.492415,1.47255), (0.514537,-1.50778), (-1.50945,-0.491552), (-1.53027,-1.51378), (1.51186,1.51357);
(0.504035,-0.364049), (-1.35337,0.580549), (-1.39592,-0.590915), (1.41121,-0.506642), (1.60827,-1.60334), (-0.477659,-1.53566), (0.494429,1.47779), (-1.48427,0.51398), (0.514537,-1.50778), (-1.50945,-0.491552), (-1.53027,-1.51378), (1.51186,1.51357);
(-1.49882,-0.612006), (-2.29653,-1.52713), (-0.590515,-1.52525), (1.56341,-0.482251), (-0.46809,-1.49901), (-1.48427,0.51398), (1.613,-1.49917), (0.492313,1.52033), (0.514537,-1.50778), (-1.50945,-0.491552), (-1.52607,-1.50622), (1.51186,1.51357);
(0.426002,-0.63067), (-1.63554,0.519858), (-2.29653,-1.52713), (1.56341,-0.482251), (-1.48811,0.503474), (0.492313,1.52033), (0.514537,-1.50778), (-0.504519,-1.49585), (-1.50945,-0.491552), (1.54794,-1.42135), (-1.52607,-1.50622), (1.51186,1.51357);
(-0.350382,0.523796), (0.422273,1.34853), (-0.441564,-2.29), (0.559784,-0.578828), (-1.48811,0.503474), (0.492313,1.52033), (0.514537,-1.50778), (-0.504519,-1.49585), (-1.50517,1.59738), (1.55943,-1.5229), (-1.52607,-1.50622), (1.50593,1.50467);
(1.47418,-2.28202), (-0.427425,0.531218), (0.615953,-1.46807), (0.521122,-0.553476), (-1.48811,0.503474), (0.492313,1.52033), (0.514537,-1.50778), (-0.504519,-1.49585), (-1.50517,1.59738), (-1.52607,-1.50622), (1.51067,-1.51804), (1.50593,1.50467);
